Locus_tag	Product	Protein_ID	Start	End
pgaptmp_000895	hypothetical protein	WP_003371428.1	1	412
pgaptmp_000896	hypothetical protein	WP_012449970.1	653	1126
pgaptmp_000897	AsnC family transcriptional regulator	WP_003372079.1	1476	2690
pgaptmp_000898	acetate--CoA ligase family protein	WP_012450070.1	2691	4106
pgaptmp_000899	FAD-dependent oxidoreductase	WP_003480504.1	4394	5833
pgaptmp_000900	LytTR family DNA-binding domain-containing protein	WP_011987562.1	6525	6980
pgaptmp_000901	LiaF transmembrane domain-containing protein	WP_012451879.1	6982	7680
pgaptmp_000902	DegV family protein	WP_017352969.1	7783	8625
pgaptmp_000903	TetR/AcrR family transcriptional regulator	WP_012423586.1	8761	9345
pgaptmp_000904	FtsX-like permease family protein	WP_012449753.1	9435	11267
pgaptmp_000905	ABC transporter ATP-binding protein	WP_012450561.1	11326	12075
pgaptmp_000906	FtsX-like permease family protein	WP_017826393.1	12205	13749
pgaptmp_000907	ABC transporter ATP-binding protein	WP_017826392.1	13739	14506
pgaptmp_000908	sensor histidine kinase	WP_017352964.1	14516	15547
pgaptmp_000909	response regulator transcription factor	WP_012451609.1	15544	16213
pgaptmp_000910	TraX family protein	WP_017352962.1	16427	17122
pgaptmp_000911	hypothetical protein	WP_003370746.1	17417	18238
pgaptmp_000912	zinc-ribbon domain-containing protein	WP_003371037.1	18444	18596
pgaptmp_000913	response regulator transcription factor	WP_012424482.1	18966	19655
pgaptmp_000914	sensor histidine kinase	WP_003370445.1	19692	21113
pgaptmp_000915	DUF3919 family protein	WP_003410998.1	21204	22025
pgaptmp_000916	ABC transporter substrate-binding protein	WP_012423344.1	22071	23120
pgaptmp_000917	hexose-6-phosphate:phosphate antiporter	WP_003374447.1	23344	24762
pgaptmp_000918	ferric reductase-like transmembrane domain-containing protein	WP_017352958.1	24989	25669
pgaptmp_000919	PTS sugar transporter subunit IIC	WP_017352956.1	26512	27558
pgaptmp_000920	2-dehydropantoate 2-reductase	WP_011590370.1	27594	28523
pgaptmp_000921	MarR family winged helix-turn-helix transcriptional regulator	WP_003449212.1	28718	29140
pgaptmp_000922	MarR family winged helix-turn-helix transcriptional regulator	WP_003373195.1	29427	29858
pgaptmp_000923	ABC transporter ATP-binding protein	WP_003371221.1	30036	31772
pgaptmp_000924	ABC transporter ATP-binding protein	WP_003369284.1	31762	33693
pgaptmp_000925	sigma-70 family RNA polymerase sigma factor	WP_003373998.1	33941	34504
pgaptmp_000926	DUF4179 domain-containing protein	WP_012450272.1	34497	35567
pgaptmp_000927	HD domain-containing protein		36028	38904
pgaptmp_000928	TVP38/TMEM64 family protein	WP_012423907.1	39106	39672
