,Query ID,Subject ID,Genome,Genome ID,Accession,Description,Sequence Type,Identity (%),Query cover (%),Subject cover (%,Hit from,Hit to,Query Length,Subject Length,Score,E value
,NODE_1_length_1027567_cov_8.869650,508765.6.NC_010674,Clostridium botulinum B str. Eklund 17B,508765.6,NC_010674,"Clostridium botulinum B str. Eklund 17B, complete genome.",chromosome,98,15.52,4.20,1330694,1171251,1027567,3800327,280757,0
,NODE_1_length_1027567_cov_8.869650,1492.48.CP013252,Clostridium butyricum strain KNU-L09,1492.48,CP013252,"Clostridium butyricum strain KNU-L09 chromosome 1, complete sequence.",chromosome,79,1.36,0.37,1683121,1669044,1027567,3824894,9384,0
,NODE_1_length_1027567_cov_8.869650,1415775.6.CP006905,Clostridium baratii str. Sullivan,1415775.6,CP006905,"Clostridium baratii str. Sullivan, complete genome.",chromosome,81,0.84,0.27,770301,761648,1027567,3153266,6662,0
,NODE_1_length_1027567_cov_8.869650,137838.3.LN890328,Clostridium neonatale,137838.3,LN890328,"Clostridium neonatale genome assembly Clostridium neonatale, scaffold scaffold00017, whole genome shotgun sequence.",contig,79,0.99,0.32,1946211,1956452,1027567,3165521,6620,0
,NODE_1_length_1027567_cov_8.869650,1211817.3.CCAT010000013,Candidatus Clostridium anorexicamassiliense AP5,1211817.3,CCAT010000013,"Candidatus Clostridium anorexicamassiliense AP5 WGS project CCAT000000000 data, contig 00013, whole genome shotgun sequence.",contig,83,0.69,32.74,10961,18085,1027567,21765,6259,0
,NODE_1_length_1027567_cov_8.869650,641107.3.AFWX01000001,Clostridium sp. DL-VIII,641107.3,AFWX01000001,"Clostridium sp. DL-VIII CDLVIIIscaffold_1_Cont1, whole genome shotgun sequence.",chromosome,77,1.14,0.42,1951912,1940207,1027567,2768678,6226,0
,NODE_1_length_1027567_cov_8.869650,137838.3.LN890327,Clostridium neonatale,137838.3,LN890327,"Clostridium neonatale genome assembly Clostridium neonatale, scaffold scaffold00016, whole genome shotgun sequence.",contig,80,0.80,0.98,482054,473904,1027567,833594,6084,0
,NODE_1_length_1027567_cov_8.869650,641107.3.AFWX01000002,Clostridium sp. DL-VIII,641107.3,AFWX01000002,"Clostridium sp. DL-VIII CDLVIIIscaffold_1_Cont2, whole genome shotgun sequence.",chromosome,86,0.50,0.14,1454433,1459603,1027567,3708579,5604,0
,NODE_1_length_1027567_cov_8.869650,1345695.3.CP006721,Clostridium saccharobutylicum DSM 13864,1345695.3,CP006721,"Clostridium saccharobutylicum DSM 13864, complete genome.",chromosome,81,0.63,0.13,1305269,1298782,1027567,5107814,5194,0
,NODE_1_length_1027567_cov_8.869650,290402.41.NC_009617,Clostridium beijerinckii NCIMB 8052,290402.41,NC_009617,"Clostridium beijerinckii NCIMB 8052, complete genome.",chromosome,82,0.59,0.10,4841317,4847393,1027567,6000632,5183,0
,NODE_2_length_747316_cov_10.756023,508765.6.NC_010674,Clostridium botulinum B str. Eklund 17B,508765.6,NC_010674,"Clostridium botulinum B str. Eklund 17B, complete genome.",chromosome,98,8.72,1.71,2949700,3014838,747316,3800327,111903,0
,NODE_2_length_747316_cov_10.756023,632245.3.NZ_ACOM01000005,Clostridium butyricum E4 str. BoNT E BL5262,632245.3,NZ_ACOM01000005,"Clostridium butyricum E4 str. BoNT E BL5262 CLP.Contig65, whole genome shotgun sequence.",chromosome,85,1.16,0.38,287192,278526,747316,2252949,8538,0
